Date,Region_Name,Area_Code,Average_Price,Monthly_Change,Annual_Change,Average_Price_SA,Year
1969-02-01,London,E12000007,4919,3.4,,,1969
1969-02-01,United Kingdom,K02000001,3461,1.6,,,1969
1969-03-01,Scotland,S92000003,3031,7.8,,,1969
1969-03-01,England,E92000001,3364,1.7,,,1969
1969-03-01,Northern Ireland,N92000001,3485,-5.9,,,1969
1969-03-01,Wales,W92000004,2878,0.0,,,1969
1969-03-01,London,E12000007,4919,3.4,,,1969
1969-03-01,East Midlands,E12000004,2995,1.1,,,1969
1969-03-01,Yorkshire and The Humber,E12000003,2624,1.7,,,1969
1969-03-01,South West,E12000009,3553,1.2,,,1969
1969-03-01,United Kingdom,K02000001,3461,1.6,,,1969
1969-04-01,Northern Ireland,N92000001,3684,5.7,6.3,,1969
1969-04-01,Wales,W92000004,2805,-2.5,2.7,,1969
1969-04-01,Scotland,S92000003,3060,1.0,11.8,,1969
1969-04-01,England,E92000001,3419,1.6,6.2,,1969
1969-04-01,Yorkshire and The Humber,E12000003,2695,2.7,5.6,,1969
1969-04-01,London,E12000007,4811,-2.2,1.7,,1969
1969-04-01,South West,E12000009,3655,2.9,9.2,,1969
1969-04-01,East Midlands,E12000004,2995,0.0,2.8,,1969
1969-04-01,United Kingdom,K02000001,3517,1.6,6.2,,1969
1969-05-01,England,E92000001,3419,1.6,6.2,,1969
1969-05-01,Scotland,S92000003,3060,1.0,11.8,,1969
1969-05-01,Wales,W92000004,2805,-2.5,2.7,,1969
1969-05-01,Northern Ireland,N92000001,3684,5.7,6.3,,1969
1969-05-01,London,E12000007,4811,-2.2,1.7,,1969
1969-05-01,East Midlands,E12000004,2995,0.0,2.8,,1969
1969-05-01,Yorkshire and The Humber,E12000003,2695,2.7,5.6,,1969
1969-05-01,South West,E12000009,3655,2.9,9.2,,1969
1969-05-01,United Kingdom,K02000001,3517,1.6,6.2,,1969
1969-06-01,Wales,W92000004,2805,-2.5,2.7,,1969
1969-06-01,Northern Ireland,N92000001,3684,5.7,6.3,,1969
1969-06-01,England,E92000001,3419,1.6,6.2,,1969
1969-06-01,Scotland,S92000003,3060,1.0,11.8,,1969
1969-06-01,Yorkshire and The Humber,E12000003,2695,2.7,5.6,,1969
1969-06-01,London,E12000007,4811,-2.2,1.7,,1969
1969-06-01,East Midlands,E12000004,2995,0.0,2.8,,1969
1969-06-01,South West,E12000009,3655,2.9,9.2,,1969
1969-06-01,United Kingdom,K02000001,3517,1.6,6.2,,1969
1969-07-01,Wales,W92000004,2893,3.1,1.0,,1969
1969-07-01,Northern Ireland,N92000001,3425,-7.0,3.0,,1969
1969-07-01,Scotland,S92000003,3031,-1.0,1.0,,1969
1969-07-01,England,E92000001,3474,1.6,4.4,,1969
1969-07-01,South West,E12000009,3635,-0.6,6.0,,1969
1969-07-01,London,E12000007,4973,3.4,2.2,,1969
1969-07-01,East Midlands,E12000004,3043,1.6,-0.5,,1969
1969-07-01,Yorkshire and The Humber,E12000003,2781,3.2,7.7,,1969
1969-07-01,United Kingdom,K02000001,3554,1.1,3.8,,1969
1969-08-01,Northern Ireland,N92000001,3425,-7.0,3.0,,1969
1969-08-01,England,E92000001,3474,1.6,4.4,,1969
1969-08-01,Wales,W92000004,2893,3.1,1.0,,1969
1969-08-01,Scotland,S92000003,3031,-1.0,1.0,,1969
1969-08-01,London,E12000007,4973,3.4,2.2,,1969
1969-08-01,East Midlands,E12000004,3043,1.6,-0.5,,1969
1969-08-01,Yorkshire and The Humber,E12000003,2781,3.2,7.7,,1969
1969-08-01,South West,E12000009,3635,-0.6,6.0,,1969
1969-08-01,United Kingdom,K02000001,3554,1.1,3.8,,1969
1969-09-01,Wales,W92000004,2893,3.1,1.0,,1969
1969-09-01,England,E92000001,3474,1.6,4.4,,1969
1969-09-01,Northern Ireland,N92000001,3425,-7.0,3.0,,1969
1969-09-01,Scotland,S92000003,3031,-1.0,1.0,,1969
1969-09-01,London,E12000007,4973,3.4,2.2,,1969
1969-09-01,Yorkshire and The Humber,E12000003,2781,3.2,7.7,,1969
1969-09-01,East Midlands,E12000004,3043,1.6,-0.5,,1969
1969-09-01,South West,E12000009,3635,-0.6,6.0,,1969
1969-09-01,United Kingdom,K02000001,3554,1.1,3.8,,1969
1969-10-01,Wales,W92000004,3127,8.1,8.6,,1969
1969-10-01,England,E92000001,3492,0.5,5.5,,1969
1969-10-01,Northern Ireland,N92000001,3505,2.3,-5.4,,1969
1969-10-01,Scotland,S92000003,3001,-1.0,6.8,,1969
1969-10-01,South West,E12000009,3655,0.6,4.1,,1969
1969-10-01,Yorkshire and The Humber,E12000003,2695,-3.1,4.4,,1969
1969-10-01,East Midlands,E12000004,3059,0.5,3.3,,1969
1969-10-01,London,E12000007,4946,-0.5,4.0,,1969
1969-10-01,United Kingdom,K02000001,3592,1.1,5.5,,1969
1969-11-01,Scotland,S92000003,3001,-1.0,6.8,,1969
1969-11-01,England,E92000001,3492,0.5,5.5,,1969
1969-11-01,Wales,W92000004,3127,8.1,8.6,,1969
1969-11-01,Northern Ireland,N92000001,3505,2.3,-5.4,,1969
1969-11-01,East Midlands,E12000004,3059,0.5,3.3,,1969
1969-11-01,South West,E12000009,3655,0.6,4.1,,1969
1969-11-01,London,E12000007,4946,-0.5,4.0,,1969
1969-11-01,Yorkshire and The Humber,E12000003,2695,-3.1,4.4,,1969
1969-11-01,United Kingdom,K02000001,3592,1.1,5.5,,1969
1969-12-01,Northern Ireland,N92000001,3505,2.3,-5.4,,1969
1969-12-01,England,E92000001,3492,0.5,5.5,,1969
1969-12-01,Scotland,S92000003,3001,-1.0,6.8,,1969
1969-12-01,Wales,W92000004,3127,8.1,8.6,,1969
1969-12-01,London,E12000007,4946,-0.5,4.0,,1969
1969-12-01,Yorkshire and The Humber,E12000003,2695,-3.1,4.4,,1969
1969-12-01,East Midlands,E12000004,3059,0.5,3.3,,1969
1969-12-01,South West,E12000009,3655,0.6,4.1,,1969
1969-12-01,United Kingdom,K02000001,3592,1.1,5.5,,1969
1970-01-01,Scotland,S92000003,3104,3.4,2.4,,1970
1970-01-01,Wales,W92000004,3010,-3.7,4.6,,1970
1970-01-01,England,E92000001,3510,0.5,4.3,,1970
1970-01-01,Northern Ireland,N92000001,3784,8.0,8.6,,1970
1970-01-01,South West,E12000009,3614,-1.1,1.7,,1970
1970-01-01,East Midlands,E12000004,3043,-0.5,1.6,,1970
1970-01-01,Yorkshire and The Humber,E12000003,2738,1.6,4.3,,1970
1970-01-01,London,E12000007,5298,7.1,7.7,,1970
1970-01-01,United Kingdom,K02000001,3611,0.5,4.3,,1970
1970-02-01,Wales,W92000004,3010,-3.7,4.6,,1970
1970-02-01,Scotland,S92000003,3104,3.4,2.4,,1970
1970-02-01,England,E92000001,3510,0.5,4.3,,1970
1970-02-01,Northern Ireland,N92000001,3784,8.0,8.6,,1970
1970-02-01,London,E12000007,5298,7.1,7.7,,1970
1970-02-01,Yorkshire and The Humber,E12000003,2738,1.6,4.3,,1970
1970-02-01,East Midlands,E12000004,3043,-0.5,1.6,,1970
1970-02-01,South West,E12000009,3614,-1.1,1.7,,1970
1970-02-01,United Kingdom,K02000001,3611,0.5,4.3,,1970
1970-03-01,Northern Ireland,N92000001,3784,8.0,8.6,,1970
1970-03-01,England,E92000001,3510,0.5,4.3,,1970
1970-03-01,Scotland,S92000003,3104,3.4,2.4,,1970
1970-03-01,Wales,W92000004,3010,-3.7,4.6,,1970
1970-03-01,Yorkshire and The Humber,E12000003,2738,1.6,4.3,,1970
1970-03-01,East Midlands,E12000004,3043,-0.5,1.6,,1970
1970-03-01,London,E12000007,5298,7.1,7.7,,1970
1970-03-01,South West,E12000009,3614,-1.1,1.7,,1970
1970-03-01,United Kingdom,K02000001,3611,0.5,4.3,,1970
1970-04-01,Scotland,S92000003,3294,6.1,7.7,,1970
1970-04-01,Wales,W92000004,3127,3.9,11.5,,1970
1970-04-01,England,E92000001,3565,1.6,4.3,,1970
1970-04-01,Northern Ireland,N92000001,3744,-1.1,1.6,,1970
1970-04-01,London,E12000007,5190,-2.0,7.9,,1970
1970-04-01,South West,E12000009,3779,4.5,3.4,,1970
1970-04-01,East Midlands,E12000004,3011,-1.0,0.5,,1970
1970-04-01,Yorkshire and The Humber,E12000003,2795,2.1,3.7,,1970
1970-04-01,United Kingdom,K02000001,3667,1.6,4.3,,1970
1970-05-01,Scotland,S92000003,3294,6.1,7.7,,1970
1970-05-01,England,E92000001,3565,1.6,4.3,,1970
1970-05-01,Wales,W92000004,3127,3.9,11.5,,1970
1970-05-01,Northern Ireland,N92000001,3744,-1.1,1.6,,1970
1970-05-01,London,E12000007,5190,-2.0,7.9,,1970
1970-05-01,South West,E12000009,3779,4.5,3.4,,1970
1970-05-01,East Midlands,E12000004,3011,-1.0,0.5,,1970
1970-05-01,Yorkshire and The Humber,E12000003,2795,2.1,3.7,,1970
1970-05-01,United Kingdom,K02000001,3667,1.6,4.3,,1970
1970-06-01,Northern Ireland,N92000001,3744,-1.1,1.6,,1970
1970-06-01,England,E92000001,3565,1.6,4.3,,1970
1970-06-01,Wales,W92000004,3127,3.9,11.5,,1970
1970-06-01,Scotland,S92000003,3294,6.1,7.7,,1970
1970-06-01,London,E12000007,5190,-2.0,7.9,,1970
1970-06-01,South West,E12000009,3779,4.5,3.4,,1970
1970-06-01,Yorkshire and The Humber,E12000003,2795,2.1,3.7,,1970
1970-06-01,East Midlands,E12000004,3011,-1.0,0.5,,1970
1970-06-01,United Kingdom,K02000001,3667,1.6,4.3,,1970
1970-07-01,Scotland,S92000003,3236,-1.8,6.8,,1970
1970-07-01,Northern Ireland,N92000001,3883,3.7,13.4,,1970
1970-07-01,Wales,W92000004,3273,4.7,13.1,,1970
1970-07-01,England,E92000001,3730,4.6,7.4,,1970
1970-07-01,East Midlands,E12000004,3249,7.9,6.8,,1970
1970-07-01,London,E12000007,5568,7.3,12.0,,1970
1970-07-01,Yorkshire and The Humber,E12000003,2909,4.1,4.6,,1970
1970-07-01,South West,E12000009,3922,3.8,7.9,,1970
1970-07-01,United Kingdom,K02000001,3835,4.6,7.9,,1970
1970-08-01,England,E92000001,3730,4.6,7.4,,1970
1970-08-01,Northern Ireland,N92000001,3883,3.7,13.4,,1970
1970-08-01,Scotland,S92000003,3236,-1.8,6.8,,1970
1970-08-01,Wales,W92000004,3273,4.7,13.1,,1970
1970-08-01,South West,E12000009,3922,3.8,7.9,,1970
1970-08-01,London,E12000007,5568,7.3,12.0,,1970
1970-08-01,East Midlands,E12000004,3249,7.9,6.8,,1970
1970-08-01,Yorkshire and The Humber,E12000003,2909,4.1,4.6,,1970
1970-08-01,United Kingdom,K02000001,3835,4.6,7.9,,1970
1970-09-01,Scotland,S92000003,3236,-1.8,6.8,,1970
1970-09-01,Northern Ireland,N92000001,3883,3.7,13.4,,1970
1970-09-01,England,E92000001,3730,4.6,7.4,,1970
1970-09-01,Wales,W92000004,3273,4.7,13.1,,1970
1970-09-01,Yorkshire and The Humber,E12000003,2909,4.1,4.6,,1970
1970-09-01,London,E12000007,5568,7.3,12.0,,1970
1970-09-01,South West,E12000009,3922,3.8,7.9,,1970
1970-09-01,East Midlands,E12000004,3249,7.9,6.8,,1970
1970-09-01,United Kingdom,K02000001,3835,4.6,7.9,,1970
1970-10-01,Scotland,S92000003,3353,3.6,11.7,,1970
1970-10-01,Wales,W92000004,3214,-1.8,2.8,,1970
1970-10-01,England,E92000001,3730,0.0,6.8,,1970
1970-10-01,Northern Ireland,N92000001,3764,-3.1,7.4,,1970
1970-10-01,South West,E12000009,4004,2.1,9.6,,1970
1970-10-01,London,E12000007,5622,1.0,13.7,,1970
1970-10-01,East Midlands,E12000004,3312,2.0,8.3,,1970
1970-10-01,Yorkshire and The Humber,E12000003,2824,-2.9,4.8,,1970
1970-10-01,United Kingdom,K02000001,3835,0.0,6.8,,1970
1970-11-01,Wales,W92000004,3214,-1.8,2.8,,1970
1970-11-01,Scotland,S92000003,3353,3.6,11.7,,1970
1970-11-01,England,E92000001,3730,0.0,6.8,,1970
1970-11-01,Northern Ireland,N92000001,3764,-3.1,7.4,,1970
1970-11-01,South West,E12000009,4004,2.1,9.6,,1970
1970-11-01,London,E12000007,5622,1.0,13.7,,1970
1970-11-01,East Midlands,E12000004,3312,2.0,8.3,,1970
1970-11-01,Yorkshire and The Humber,E12000003,2824,-2.9,4.8,,1970
1970-11-01,United Kingdom,K02000001,3835,0.0,6.8,,1970
1970-12-01,England,E92000001,3730,0.0,6.8,,1970
1970-12-01,Northern Ireland,N92000001,3764,-3.1,7.4,,1970
1970-12-01,Scotland,S92000003,3353,3.6,11.7,,1970
1970-12-01,Wales,W92000004,3214,-1.8,2.8,,1970
1970-12-01,South West,E12000009,4004,2.1,9.6,,1970
1970-12-01,East Midlands,E12000004,3312,2.0,8.3,,1970
1970-12-01,Yorkshire and The Humber,E12000003,2824,-2.9,4.8,,1970
1970-12-01,London,E12000007,5622,1.0,13.7,,1970
1970-12-01,United Kingdom,K02000001,3835,0.0,6.8,,1970
1971-01-01,Wales,W92000004,3156,-1.8,4.9,,1971
1971-01-01,Scotland,S92000003,3294,-1.7,6.1,,1971
1971-01-01,England,E92000001,3839,2.9,9.4,,1971
1971-01-01,Northern Ireland,N92000001,4062,7.9,7.4,,1971
1971-01-01,London,E12000007,5757,2.4,8.7,,1971
1971-01-01,South West,E12000009,4148,3.6,14.8,,1971
1971-01-01,Yorkshire and The Humber,E12000003,2881,2.0,5.2,,1971
1971-01-01,East Midlands,E12000004,3296,-0.5,8.3,,1971
1971-01-01,United Kingdom,K02000001,3929,2.4,8.8,,1971
1971-02-01,England,E92000001,3839,2.9,9.4,,1971
1971-02-01,Wales,W92000004,3156,-1.8,4.9,,1971
1971-02-01,Scotland,S92000003,3294,-1.7,6.1,,1971
1971-02-01,Northern Ireland,N92000001,4062,7.9,7.4,,1971
1971-02-01,South West,E12000009,4148,3.6,14.8,,1971
1971-02-01,London,E12000007,5757,2.4,8.7,,1971
1971-02-01,East Midlands,E12000004,3296,-0.5,8.3,,1971
1971-02-01,Yorkshire and The Humber,E12000003,2881,2.0,5.2,,1971
1971-02-01,United Kingdom,K02000001,3929,2.4,8.8,,1971
1971-03-01,Northern Ireland,N92000001,4062,7.9,7.4,,1971
1971-03-01,England,E92000001,3839,2.9,9.4,,1971
1971-03-01,Wales,W92000004,3156,-1.8,4.9,,1971
1971-03-01,Scotland,S92000003,3294,-1.7,6.1,,1971
1971-03-01,South West,E12000009,4148,3.6,14.8,,1971
1971-03-01,London,E12000007,5757,2.4,8.7,,1971
1971-03-01,East Midlands,E12000004,3296,-0.5,8.3,,1971
1971-03-01,Yorkshire and The Humber,E12000003,2881,2.0,5.2,,1971
1971-03-01,United Kingdom,K02000001,3929,2.4,8.8,,1971
1971-04-01,Scotland,S92000003,3353,1.8,1.8,,1971
1971-04-01,Northern Ireland,N92000001,4062,0.0,8.5,,1971
1971-04-01,Wales,W92000004,3360,6.5,7.5,,1971
1971-04-01,England,E92000001,3949,2.9,10.8,,1971
1971-04-01,Yorkshire and The Humber,E12000003,2995,4.0,7.1,,1971
1971-04-01,London,E12000007,6109,6.1,17.7,,1971
1971-04-01,South West,E12000009,4148,0.0,9.8,,1971
1971-04-01,East Midlands,E12000004,3391,2.9,12.6,,1971
1971-04-01,United Kingdom,K02000001,4041,2.9,10.2,,1971
1971-05-01,Scotland,S92000003,3353,1.8,1.8,,1971
1971-05-01,Northern Ireland,N92000001,4062,0.0,8.5,,1971
1971-05-01,England,E92000001,3949,2.9,10.8,,1971
1971-05-01,Wales,W92000004,3360,6.5,7.5,,1971
1971-05-01,East Midlands,E12000004,3391,2.9,12.6,,1971
1971-05-01,Yorkshire and The Humber,E12000003,2995,4.0,7.1,,1971
1971-05-01,South West,E12000009,4148,0.0,9.8,,1971
1971-05-01,London,E12000007,6109,6.1,17.7,,1971
1971-05-01,United Kingdom,K02000001,4041,2.9,10.2,,1971
1971-06-01,Scotland,S92000003,3353,1.8,1.8,,1971
1971-06-01,Northern Ireland,N92000001,4062,0.0,8.5,,1971
1971-06-01,England,E92000001,3949,2.9,10.8,,1971
1971-06-01,Wales,W92000004,3360,6.5,7.5,,1971
1971-06-01,London,E12000007,6109,6.1,17.7,,1971
1971-06-01,East Midlands,E12000004,3391,2.9,12.6,,1971
1971-06-01,Yorkshire and The Humber,E12000003,2995,4.0,7.1,,1971
1971-06-01,South West,E12000009,4148,0.0,9.8,,1971
1971-06-01,United Kingdom,K02000001,4041,2.9,10.2,,1971
1971-07-01,Wales,W92000004,3521,4.8,7.6,,1971
1971-07-01,Northern Ireland,N92000001,4242,4.4,9.2,,1971
1971-07-01,Scotland,S92000003,3719,10.9,14.9,,1971
1971-07-01,England,E92000001,4168,5.6,11.8,,1971
1971-07-01,Yorkshire and The Humber,E12000003,3166,5.7,8.8,,1971
1971-07-01,South West,E12000009,4415,6.4,12.6,,1971
1971-07-01,East Midlands,E12000004,3534,4.2,8.8,,1971
1971-07-01,London,E12000007,6379,4.4,14.6,,1971
1971-07-01,United Kingdom,K02000001,4284,6.0,11.7,,1971
1971-08-01,England,E92000001,4168,5.6,11.8,,1971
1971-08-01,Northern Ireland,N92000001,4242,4.4,9.2,,1971
1971-08-01,Wales,W92000004,3521,4.8,7.6,,1971
1971-08-01,Scotland,S92000003,3719,10.9,14.9,,1971
1971-08-01,East Midlands,E12000004,3534,4.2,8.8,,1971
1971-08-01,London,E12000007,6379,4.4,14.6,,1971
1971-08-01,South West,E12000009,4415,6.4,12.6,,1971
1971-08-01,Yorkshire and The Humber,E12000003,3166,5.7,8.8,,1971
1971-08-01,United Kingdom,K02000001,4284,6.0,11.7,,1971
1971-09-01,Wales,W92000004,3521,4.8,7.6,,1971
1971-09-01,England,E92000001,4168,5.6,11.8,,1971
1971-09-01,Northern Ireland,N92000001,4242,4.4,9.2,,1971
1971-09-01,Scotland,S92000003,3719,10.9,14.9,,1971
1971-09-01,East Midlands,E12000004,3534,4.2,8.8,,1971
1971-09-01,South West,E12000009,4415,6.4,12.6,,1971
1971-09-01,Yorkshire and The Humber,E12000003,3166,5.7,8.8,,1971
1971-09-01,London,E12000007,6379,4.4,14.6,,1971
1971-09-01,United Kingdom,K02000001,4284,6.0,11.7,,1971
1971-10-01,Northern Ireland,N92000001,3903,-8.0,3.7,,1971
1971-10-01,England,E92000001,4388,5.3,17.6,,1971
1971-10-01,Wales,W92000004,3506,-0.4,9.1,,1971
1971-10-01,Scotland,S92000003,3558,-4.3,6.1,,1971
1971-10-01,London,E12000007,6757,5.9,20.2,,1971
1971-10-01,South West,E12000009,4662,5.6,16.4,,1971
1971-10-01,Yorkshire and The Humber,E12000003,3237,2.3,14.6,,1971
1971-10-01,East Midlands,E12000004,3661,3.6,10.5,,1971
1971-10-01,United Kingdom,K02000001,4471,4.4,16.6,,1971
1971-11-01,Northern Ireland,N92000001,3903,-8.0,3.7,,1971
1971-11-01,Scotland,S92000003,3558,-4.3,6.1,,1971
1971-11-01,England,E92000001,4388,5.3,17.6,,1971
1971-11-01,Wales,W92000004,3506,-0.4,9.1,,1971
1971-11-01,South West,E12000009,4662,5.6,16.4,,1971
1971-11-01,London,E12000007,6757,5.9,20.2,,1971
1971-11-01,East Midlands,E12000004,3661,3.6,10.5,,1971
1971-11-01,Yorkshire and The Humber,E12000003,3237,2.3,14.6,,1971
1971-11-01,United Kingdom,K02000001,4471,4.4,16.6,,1971
1971-12-01,Northern Ireland,N92000001,3903,-8.0,3.7,,1971
1971-12-01,Scotland,S92000003,3558,-4.3,6.1,,1971
1971-12-01,Wales,W92000004,3506,-0.4,9.1,,1971
1971-12-01,England,E92000001,4388,5.3,17.6,,1971
1971-12-01,South West,E12000009,4662,5.6,16.4,,1971
1971-12-01,Yorkshire and The Humber,E12000003,3237,2.3,14.6,,1971
1971-12-01,East Midlands,E12000004,3661,3.6,10.5,,1971
1971-12-01,London,E12000007,6757,5.9,20.2,,1971
1971-12-01,United Kingdom,K02000001,4471,4.4,16.6,,1971
1972-01-01,Wales,W92000004,3813,8.7,20.8,,1972
1972-01-01,Scotland,S92000003,3733,4.9,13.3,,1972
1972-01-01,England,E92000001,4644,5.8,21.0,,1972
1972-01-01,Northern Ireland,N92000001,4222,8.2,3.9,,1972
1972-01-01,South West,E12000009,4990,7.0,20.3,,1972
1972-01-01,Yorkshire and The Humber,E12000003,3323,2.6,15.3,,1972
1972-01-01,East Midlands,E12000004,3803,3.9,15.4,,1972
1972-01-01,London,E12000007,7541,11.6,31.0,,1972
1972-01-01,United Kingdom,K02000001,4752,6.3,21.0,,1972
1972-02-01,Northern Ireland,N92000001,4222,8.2,3.9,,1972
1972-02-01,Scotland,S92000003,3733,4.9,13.3,,1972
1972-02-01,England,E92000001,4644,5.8,21.0,,1972
1972-02-01,Wales,W92000004,3813,8.7,20.8,,1972
1972-02-01,South West,E12000009,4990,7.0,20.3,,1972
1972-02-01,London,E12000007,7541,11.6,31.0,,1972
1972-02-01,East Midlands,E12000004,3803,3.9,15.4,,1972
1972-02-01,Yorkshire and The Humber,E12000003,3323,2.6,15.3,,1972
1972-02-01,United Kingdom,K02000001,4752,6.3,21.0,,1972
1972-03-01,Northern Ireland,N92000001,4222,8.2,3.9,,1972
1972-03-01,Wales,W92000004,3813,8.7,20.8,,1972
1972-03-01,England,E92000001,4644,5.8,21.0,,1972
1972-03-01,Scotland,S92000003,3733,4.9,13.3,,1972
1972-03-01,South West,E12000009,4990,7.0,20.3,,1972
1972-03-01,London,E12000007,7541,11.6,31.0,,1972
1972-03-01,East Midlands,E12000004,3803,3.9,15.4,,1972
1972-03-01,Yorkshire and The Humber,E12000003,3323,2.6,15.3,,1972
1972-03-01,United Kingdom,K02000001,4752,6.3,21.0,,1972
1972-04-01,Scotland,S92000003,4114,10.2,22.7,,1972
1972-04-01,England,E92000001,5119,10.2,29.6,,1972
1972-04-01,Northern Ireland,N92000001,4282,1.4,5.4,,1972
1972-04-01,Wales,W92000004,3959,3.8,17.8,,1972
1972-04-01,East Midlands,E12000004,4136,8.8,22.0,,1972
